token,similarity
the,0.37922089537735726
distant,0.3785261833311897
realm,0.3680451097447498
",",0.3123317774818704
virtual,0.47212649855066297
reality,0.4991204092838363
game,0.3468601548748414
emerged,0.32265515211465307
and,0.393773375311556
.,0.3107216030417118
individuals,0.40180954414657033
different,0.545825777137774
life,0.369916830855731
themselves,0.3783573185472032
inexplicably,0.4643852382029459
this,0.5304854940236415
world,0.45546291641589914
seasoned,0.3725192030316519
for,0.3979100802304985
unparalleled,0.5088694220369753
combat,0.30817722772940953
skills,0.4131605408763316
unwavering,0.4680165559513735
determination,0.38317273259139817
past,0.3174788549420881
seeking,0.4430996276472941
redemption,0.35074509009598004
through,0.4476430672452111
enigmatic,0.4365396037604511
with,0.39219844518666164
mysterious,0.4365396037604511
harnessed,0.42329503120620887
formidable,0.514236075169467
ethereal,0.43169323342713467
presence,0.4290537409708407
adversaries,0.35023870067992124
colossal,0.3398666669024409
impenetrable,0.3905273409527448
unyielding,0.5343427938097283
strength,0.33720633261127897
Driven,0.4096252955002808
ancient,0.3153002114071658
unravel,0.41817842473749006
Aspiring,0.6033712037599365
discovered,0.361311861535659
inner,0.32952978894315
simple,0.48289430357422775
limitations,0.39869945233019977
set,0.30122157373990355
unexpected,0.5840943285440849
journey,0.4345892225656886
