token,similarity
sinking,0.3885488357501477
make,0.36489442753087575
this,0.5304854940236415
",",0.3123317774818704
.,0.3107216030417118
what,0.33910172859307075
treasures,0.36376709542426494
there,0.48900166440423426
good,0.46537932100416324
you,0.32407509045225075
your,0.3485986342834973
Nothing,0.39747598640853754
the,0.37922089537735726
one,0.39528241873947684
but,0.3212416674285159
matter,0.3377442388280904
still,0.4088770998818493
selling,0.41942284031074606
those,0.3568971441457274
pretty,0.33645460590814813
time,0.40219089898464827
will,0.35996447009817945
for,0.3979100802304985
right,0.4066769021302545
problem,0.3282183445028258
now,0.31942032679704035
need,0.32726128606578864
big,0.37096333348723476
take,0.31528156609295216
nice,0.3722053854038757
little,0.42355132235716597
much,0.37431088879158597
could,0.31884326957698206
parts,0.31183903428783993
understand,0.46792685213042534
rather,0.3972599971572874
hard,0.33977298498752184
lately,0.3805432043428624
probably,0.394916641322799
choice,0.3738615514179004
outrageously,0.37332923217777875
like,0.45258670603210976
Because,0.35244691343435924
going,0.44114129547852104
show,0.38109220085275475
course,0.4562000829604371
perform,0.3760723484082836
flaming,0.3605160472927545
careful,0.37628479475686855
about,0.41996325822611513
obvious,0.5223108592986085
that,0.4719632986671253
previous,0.3737633844308087
idea,0.3514380942997703
here,0.48136486148752344
and,0.393773375311556
yourself,0.38571884728304134
difficult,0.5162285928765855
creature,0.4140736113833287
more,0.4465669294074905
with,0.39219844518666164
risky,0.36283904025419905
talking,0.47541811763569075
This,0.3622951644445436
want,0.307300962826036
tonight,0.3625499696251984
something,0.5208963769769004
truly,0.4464371774589965
special,0.5355088315515637
magnificent,0.4761120393803925
rare,0.36749050649889614
generations,0.4017353720384127
...,0.3900238744246651
Fabulous,0.4925318859784103
well,0.4298573529116053
companion,0.4113273019276709
life,0.369916830855731
means,0.3375888761143953
always,0.4866264901582119
together,0.5166808664073403
Always,0.3059680556526814
some,0.48903645669341544
kind,0.42386547236570893
looking,0.6025607205847189
nothing,0.4161467138175143
have,0.3306873502199827
fight,0.3010016023713995
see,0.31556983837160174
help,0.35252727439767967
movements,0.4085586806522179
looks,0.38265038172031063
around,0.38477858165066614
people,0.3411664082474415
believe,0.3342538692648147
just,0.39108846132507386
our,0.4019488196541688
responsibility,0.35217727582932157
most,0.39308972785643503
important,0.605542332430059
mission,0.37253849621058815
space,0.39705376916479035
better,0.4703366736769221
find,0.34391726516769233
easy,0.39463388993682214
really,0.5618697371126566
astounding,0.6945926647370894
colorful,0.4782025443974165
making,0.5233010968482738
should,0.3382169472238757
know,0.3058423196258979
stronger,0.4311705233623397
expected,0.4731179304318263
expect,0.4520902319484235
world,0.45546291641589914
full,0.3370039305467056
surprises,0.5580607378603739
through,0.4476430672452111
recently,0.341413572780037
inside,0.36672011471101745
love,0.3817203578020958
where,0.39711670556437656
expecting,0.5833700300537876
young,0.36149501943902773
quite,0.41733939512525736
long,0.30988420727209354
vision,0.4673553388687192
many,0.42535280157713756
helping,0.4708854418831162
emotions,0.44964796562198117
turbulent,0.37403595020991315
swirling,0.4180813562965982
gentle,0.3125592585446553
peaceful,0.3666970235580307
very,0.43776423833973876
rested,0.31759777844306475
judging,0.36237984738277607
prepared,0.44048220458977083
energies,0.41634120623850923
unbreakable,0.43600156037700566
reading,0.5465278974164495
energy,0.36736247966009233
sense,0.3643361789158264
invisible,0.3905273409527448
connect,0.38008421100146106
all,0.43677302566278975
great,0.6349553154342403
doing,0.45353218000458256
sensitive,0.47627549104173206
boundaries,0.3755538912413901
completely,0.43121204447133626
surrounded,0.31400136739946444
There,0.40477829406205024
part,0.3914331302768581
produce,0.43793310773919686
hope,0.3530082183687039
festival,0.3462992154648829
holiday,0.3714378614456395
comes,0.38886974591571816
Having,0.3943228191284251
huge,0.378299910101148
appreciated,0.5637045597708061
appreciate,0.5075497695424394
their,0.34569545974188204
look,0.40900433104435147
biggest,0.3915998011158038
ever,0.3843965300954764
bright,0.516744301185503
dangerous,0.47403252076877817
sure,0.3221794184786913
these,0.4345767555375568
they,0.3059019662185364
ruining,0.4128768449076856
awesome,0.6160452362839295
suggest,0.3756817541713321
welcome,0.5168837319285698
helps,0.33460948982801025
true,0.33391125831461915
considering,0.5950080607181396
past,0.3174788549420881
glorious,0.5535855517160425
think,0.3967624698194946
society,0.33877098072451917
would,0.31638368286816276
fair,0.30372621320715015
question,0.3742419416787062
chance,0.4203828311538442
clear,0.3437089506576888
only,0.31888333261832646
way,0.34570109574340047
follow,0.3505743645750733
includes,0.334897802112875
paying,0.312357083396738
supposed,0.33931768531473455
whole,0.42617335505588233
nation,0.31500727806757955
Airbending,0.45459554310107037
trying,0.35212958954556856
saving,0.41542005554019035
thinking,0.5631370106235263
either,0.32260931975766494
reason,0.3136358221760445
thought,0.45022873604993974
expert,0.4094837055480389
classified,0.3182240430097846
such,0.3533888536614844
famous,0.3404675798371713
solving,0.4717152525848551
missing,0.38320532236543264
wanted,0.35029089485681897
real,0.46010915372136435
deeper,0.36729641114459083
new,0.5408789310444068
props,0.32965998336670577
ready,0.4554306359662673
footprint,0.30799153573094357
today,0.5043461170192484
emerged,0.32265515211465307
free,0.30292862535139303
same,0.3061498658703889
set,0.30122157373990355
story,0.3756659364948524
enough,0.35914003732802896
Actually,0.41678750504584106
other,0.46526374336125675
impact,0.38693520646385837
inspired,0.5058996430049881
change,0.43302815028226194
relics,0.3433345656823981
connected,0.4283937206805625
spirit,0.32608438748839236
exquisite,0.43732396785181
touching,0.46509683812977615
enormous,0.45647769762755797
things,0.4827959375317127
anything,0.3873879468614526
therefore,0.4220334724305143
linking,0.49731360404732716
Brilliant,0.4486927442160529
come,0.399641317386951
smart,0.4119487218225567
handsome,0.34817427458858763
funny,0.32426329369504064
mention,0.39632284298068904
seeing,0.46703774577970036
place,0.3610744714628074
committing,0.4937569969852979
Honorable,0.3550325239856084
solid,0.376885378433414
investigation,0.3111747846353425
strong,0.45830416895485676
Evidence,0.3233167329164292
works,0.38669887861352126
Simple,0.3071775498268754
loved,0.35472683014072376
because,0.40282344006074877
present,0.4982740086997583
remember,0.3795123704596709
large,0.31088278911400297
Furthermore,0.44866216708591317
painting,0.41346031122686605
serious,0.5044909998205069
shopping,0.4705635670424704
honest,0.34397336151981883
best,0.461463998314531
delicious,0.5581173815576898
whether,0.33886924124178186
struggle,0.35966447467079865
simple,0.48289430357422775
without,0.31499456696539924
capture,0.40126083253975053
problems,0.34651026107377997
meaning,0.41149376379597674
inner,0.32952978894315
strength,0.33720633261127897
already,0.39004232045895815
everybody,0.36921399939614996
ridiculous,0.3699588398093581
horrible,0.349278713852326
expanding,0.5716474465650785
continent,0.4604059776575467
immediate,0.38701435843216186
passively,0.5089509381845133
created,0.4184751009639697
Bring,0.3751582583794748
lot,0.36235421216445257
